,plate,mjd,fiberid,z,subclass,e_bv_sfd,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,neiii_3869_flux,oii_3726_flux,oii_3729_flux,h_alpha_eqw,nii_6584_eqw,psfMag_g,psfMag_z
20269,907,52373,476,0.04611965,b'STARBURST',0.008582692,483.9483,150.2793,414.3098,32.56145,13.99988,60.10823,39.93862,40.06824,227.7764,309.4032,-77.92486,-5.383449,19.13343,19.0794
20270,901,52641,334,0.1807579,b'STARBURST',0.01620827,418.3897,130.3504,432.9527,97.98905,11.04994,33.35063,26.49159,25.22579,124.7798,133.0978,-160.3252,-37.2157,19.7311,19.15211
20271,901,52641,365,0.06267041,b'STARBURST',0.01246235,1063.631,301.9615,900.4424,94.74834,32.63718,136.6164,96.57782,61.8212,379.9204,489.3204,-112.0563,-11.40048,18.78797,18.46409
20272,902,52409,368,0.03914298,b'STARBURST',0.009081738,507.6874,161.6799,543.501,32.07845,16.11299,55.88171,37.48982,48.95019,246.9419,255.3014,-93.98777,-6.913939,19.21352,19.20037
20273,864,52320,31,0.07673572,b'STARBURST',0.03760514,1224.94,356.8242,459.7185,228.1047,42.18459,231.3489,165.4203,32.81049,502.2645,555.6841,-96.901,-18.23487,18.88622,18.39526
20274,860,52319,12,0.04068964,b'STARBURST',0.06196344,921.8899,244.6775,253.0894,193.6861,28.29486,169.5608,121.5414,27.21585,364.354,367.1411,-44.785,-9.416912,18.80864,18.32273
20275,860,52319,110,0.1429438,b'BROADLINE',0.05437645,192.8616,48.5007,273.8171,53.19712,12.77959,14.41213,15.6408,26.79668,38.78648,13.89943,-24.75776,-8.985611,20.43775,19.09213
20276,862,52325,136,0.1180606,b'STARBURST',0.04368053,2243.143,519.6714,538.0453,666.5303,77.33971,351.247,269.0287,40.41037,505.5779,599.8774,-122.854,-37.68458,18.36666,17.70678
20277,865,52323,91,0.1148861,b'AGN',0.0315243,264.856,52.29035,164.4165,216.568,17.90472,60.40689,44.49734,23.41471,52.76795,69.92721,-12.64883,-10.77887,18.85747,17.42227
20278,870,52325,635,0.1488145,b'AGN',0.01723279,234.9148,59.95024,315.5198,176.7374,53.36726,88.36831,72.89394,43.09013,106.07,180.5197,-16.04235,-12.57289,19.82287,17.98199
20279,861,52318,493,0.1713611,b'AGN',0.04035432,165.2103,40.56684,211.1656,139.5165,11.9154,35.83543,28.44689,21.91032,27.95243,27.88702,-14.52853,-11.94492,19.93285,18.28215
