,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
18586,550,51959,403,b'GALAXY',b'STARBURST',0.1011674,304.973,98.26063,115.8751,63.85823,13.5699,61.12996,43.0954,-41.01869,-8.842297
18587,550,51959,452,b'GALAXY',b'AGN',0.2202251,312.2685,61.67596,234.9858,249.4837,22.34746,54.21622,49.8674,-43.81732,-33.07984
18588,551,51993,603,b'GALAXY',b'STARFORMING',0.01663956,101.2515,31.08859,30.73315,18.36028,6.30295,28.22926,20.63607,-23.09986,-4.505846
18589,552,51992,321,b'GALAXY',b'STARFORMING',0.07523808,251.6462,78.07786,26.57063,96.73085,5.427524,47.0203,32.49668,-34.12783,-12.85925
18590,552,51992,437,b'GALAXY',b'STARBURST',0.102347,294.1078,70.33881,15.76572,99.28498,7.454178,47.42677,31.92787,-57.78126,-16.83298
18591,552,51992,474,b'GALAXY',b'STARFORMING',0.05947816,207.3324,47.8604,62.74308,41.78508,6.645777,47.33558,33.86297,-37.49424,-7.946267
18592,553,51999,461,b'GALAXY',b'STARBURST',0.09894551,346.2195,85.05665,73.28067,83.96314,17.47744,83.90174,54.12219,-44.20061,-14.23724
18593,554,52000,145,b'GALAXY',b'STARFORMING',0.03293461,524.9683,77.77489,14.1877,198.7682,14.38963,67.7328,53.11464,-37.65681,-14.01614
18594,556,51991,268,b'GALAXY',b'STARFORMING',0.04866347,244.1258,75.27242,168.4817,26.75075,12.20541,44.1666,28.69248,-27.1011,-2.792569
18595,557,52253,54,b'GALAXY',b'STARBURST',0.1190896,488.3721,132.2159,80.02959,120.7396,13.64169,76.90646,56.84381,-60.28249,-15.09812
18596,559,52316,151,b'GALAXY',b'STARBURST',0.04477527,438.774,130.5762,259.8726,62.0221,15.66943,81.6496,57.53866,-56.63135,-7.520116
18597,559,52316,574,b'GALAXY',b'AGN',0.1328542,198.1604,44.8069,286.8295,236.6102,38.96087,76.7812,73.01247,-12.32188,-14.29182
18598,560,52296,241,b'GALAXY',b'STARFORMING',0.07659504,521.7664,107.9608,49.28351,221.4013,14.26442,96.58426,69.90084,-36.17776,-15.20642
18599,560,52296,309,b'GALAXY',b'STARBURST',0.12558,489.6584,159.5529,572.0148,38.27699,13.73734,56.71811,42.81874,-124.6016,-9.875393
18600,560,52296,604,b'GALAXY',b'STARBURST',0.07426478,564.0794,172.6331,259.785,94.81944,20.38034,102.9957,79.65508,-80.73207,-13.45445
18601,561,52295,38,b'GALAXY',b'STARFORMING',0.04560672,981.7086,217.5324,175.2477,580.639,44.985,220.9365,182.8912,-25.28507,-14.82287
